,決算年度,団体コード ,団体名,表番号,行番号,行名称,001:決算額
420,2013,370002,香川県,5,1,地方税,97429426
421,2013,380008,愛媛県,5,1,地方税,117589144
422,2013,390003,高知県,5,1,地方税,53147638
423,2013,400009,福岡県,5,1,地方税,446527299
424,2013,410004,佐賀県,5,1,地方税,70966464
425,2013,420000,長崎県,5,1,地方税,96269150
426,2013,430005,熊本県,5,1,地方税,133392690
427,2013,440001,大分県,5,1,地方税,94562314
428,2013,450006,宮崎県,5,1,地方税,82765662
429,2013,460001,鹿児島県,5,1,地方税,121002519
430,2013,470007,沖縄県,5,1,地方税,91712941
431,2013,合計(全国),,5,1,地方税,14061808862
432,2013,10006,北海道,5,5,地方交付税,680877736
433,2013,20001,青森県,5,5,地方交付税,226422947
434,2013,30007,岩手県,5,5,地方交付税,270005557
435,2013,40002,宮城県,5,5,地方交付税,261905231
436,2013,50008,秋田県,5,5,地方交付税,197478021
437,2013,60003,山形県,5,5,地方交付税,181089947
438,2013,70009,福島県,5,5,地方交付税,262970758
439,2013,80004,茨城県,5,5,地方交付税,189302878
440,2013,90000,栃木県,5,5,地方交付税,128666527
441,2013,100005,群馬県,5,5,地方交付税,132315202
442,2013,110001,埼玉県,5,5,地方交付税,188411395
443,2013,120006,千葉県,5,5,地方交付税,167038689
444,2013,130001,東京都,5,5,地方交付税,0
445,2013,140007,神奈川県,5,5,地方交付税,62867312
446,2013,150002,新潟県,5,5,地方交付税,279259282
447,2013,160008,富山県,5,5,地方交付税,131371591
448,2013,170003,石川県,5,5,地方交付税,132158588
449,2013,180009,福井県,5,5,地方交付税,130765622
450,2013,190004,山梨県,5,5,地方交付税,132389650
451,2013,200000,長野県,5,5,地方交付税,218844888
452,2013,210005,岐阜県,5,5,地方交付税,170088170
453,2013,220001,静岡県,5,5,地方交付税,155505691
454,2013,230006,愛知県,5,5,地方交付税,66482511
455,2013,240001,三重県,5,5,地方交付税,136461694
456,2013,250007,滋賀県,5,5,地方交付税,113442706
457,2013,260002,京都府,5,5,地方交付税,173932281
458,2013,270008,大阪府,5,5,地方交付税,284448912
459,2013,280003,兵庫県,5,5,地方交付税,305459187
460,2013,290009,奈良県,5,5,地方交付税,147758553
461,2013,300004,和歌山県,5,5,地方交付税,163593273
462,2013,310000,鳥取県,5,5,地方交付税,138031305
463,2013,320005,島根県,5,5,地方交付税,184091084
464,2013,330001,岡山県,5,5,地方交付税,169229539
465,2013,340006,広島県,5,5,地方交付税,186758198
466,2013,350001,山口県,5,5,地方交付税,174355514
